document,element_observed,LvS,element,expected,element_base,frequency_in_document,doc_total,observed,gap_val
1990,HIV_AIDS,-0.0033616386602331443,HIV_AIDS,0.02466588959080638,HIV_AIDS,336059.0,43518516.0,0.007722207255412845,-0.016943682335393534
1991,HIV_AIDS,-0.0024000926750690835,HIV_AIDS,0.02466588959080638,HIV_AIDS,430725.0,44059729.0,0.009775933937314957,-0.014889955653491422
1992,HIV_AIDS,-0.0015663752459713588,HIV_AIDS,0.02466588959080638,HIV_AIDS,540070.0,44459130.0,0.012147561142109619,-0.01251832844869676
1993,HIV_AIDS,-0.0009188617119143525,HIV_AIDS,0.02466588959080638,HIV_AIDS,664463.0,45185713.0,0.014705156915417048,-0.009960732675389331
1994,HIV_AIDS,-0.0004650889603030838,HIV_AIDS,0.02466588959080638,HIV_AIDS,800169.0,46182613.0,0.017326195899742616,-0.007339693691063763
1995,HIV_AIDS,-0.00015146559703321425,HIV_AIDS,0.02466588959080638,HIV_AIDS,938440.0,46177018.0,0.020322663537953013,-0.004343226052853366
1996,HIV_AIDS,-2.316264234167374e-05,HIV_AIDS,0.02466588959080638,HIV_AIDS,1061580.0,46320827.0,0.022917984603340522,-0.0017479049874658571
1997,HIV_AIDS,1.7486336420068224e-06,HIV_AIDS,0.02466588959080638,HIV_AIDS,1174154.0,46672370.0,0.02515736826734961,0.0004914786765432312
1998,HIV_AIDS,6.337257177253548e-05,HIV_AIDS,0.02466588959080638,HIV_AIDS,1303651.0,47066088.0,0.027698307962199874,0.0030324183713934943
1999,HIV_AIDS,0.00020266839383096744,HIV_AIDS,0.02466588959080638,HIV_AIDS,1439777.0,47652090.0,0.030214351563593537,0.0055484619727871574
2000,HIV_AIDS,0.00038412001561047987,HIV_AIDS,0.02466588959080638,HIV_AIDS,1559389.0,48050317.0,0.03245325103682459,0.007787361446018208
2001,HIV_AIDS,0.0005757810404576455,HIV_AIDS,0.02466588959080638,HIV_AIDS,1662064.0,48385692.0,0.034350319925154735,0.009684430334348355
