element_name,element
Acute_hepatitis,Acute_hepatitis
Alcohol_use_disorders,Alcohol_use_disorders
Alzheimer_s_disease_and_other_dementias,Alzheimer_s_disease_and_other_dementias
Cardiovascular_diseases,Cardiovascular_diseases
Chronic_kidney_disease,Chronic_kidney_disease
Chronic_respiratory_diseases,Chronic_respiratory_diseases
Cirrhosis_and_other_chronic_liver_diseases,Cirrhosis_and_other_chronic_liver_diseases
Conflict_and_terrorism,Conflict_and_terrorism
Diabetes_mellitus,Diabetes_mellitus
Diarrheal_diseases,Diarrheal_diseases
Digestive_diseases,Digestive_diseases
Drowning,Drowning
Drug_use_disorders,Drug_use_disorders
Environmental_heat_and_cold_exposure,Environmental_heat_and_cold_exposure
Exposure_to_forces_of_nature,Exposure_to_forces_of_nature
Fire__heat__and_hot_substances,Fire__heat__and_hot_substances
HIV_AIDS,HIV_AIDS
Interpersonal_violence,Interpersonal_violence
Lower_respiratory_infections,Lower_respiratory_infections
Malaria,Malaria
Maternal_disorders,Maternal_disorders
Meningitis,Meningitis
Neonatal_disorders,Neonatal_disorders
Neoplasms,Neoplasms
Nutritional_deficiencies,Nutritional_deficiencies
Parkinson_s_disease,Parkinson_s_disease
Poisonings,Poisonings
Protein_energy_malnutrition,Protein_energy_malnutrition
Road_injuries_,Road_injuries_
Self_harm,Self_harm
Tuberculosis,Tuberculosis
