,element,global_weight
0,Cardiovascular_diseases,0.30391353552465455
1,Neoplasms,0.15561816876720513
2,Chronic_respiratory_diseases,0.07125939952697236
3,Lower_respiratory_infections,0.057557502835119144
4,Neonatal_disorders,0.0528678872638754
5,Diarrheal_diseases,0.04574862455119696
6,Digestive_diseases,0.044627564202639886
7,Tuberculosis,0.03155651270642639
8,Cirrhosis_and_other_chronic_liver_diseases,0.025456958991994096
9,Road_injuries_,0.024763379355490518
10,HIV_AIDS,0.02466588959080638
11,Diabetes_mellitus,0.021199270678605168
12,Alzheimer_s_disease_and_other_dementias,0.019993008439900505
13,Chronic_kidney_disease,0.019471265385770393
14,Malaria,0.017377560361289297
15,Self_harm,0.01621624244984473
16,Nutritional_deficiencies,0.009616494581960264
17,Interpersonal_violence,0.00871116349147639
18,Protein_energy_malnutrition,0.008391529879052553
19,Meningitis,0.007257857504972817
20,Drowning,0.007123638800035801
21,Maternal_disorders,0.005317571400179081
22,Parkinson_s_disease,0.004833123916684805
23,Alcohol_use_disorders,0.003280917165214684
24,Acute_hepatitis,0.0026176526420665417
25,Fire__heat__and_hot_substances,0.0024682614971321985
26,Conflict_and_terrorism,0.002259519068200754
27,Drug_use_disorders,0.0017981281412636592
28,Poisonings,0.0017805712226982172
29,Environmental_heat_and_cold_exposure,0.0012280231369405656
30,Exposure_to_forces_of_nature,0.0010227769203308514
