element,frequency_in_document
Acute_hepatitis,3784748.0
Alcohol_use_disorders,4818867.0
Alzheimer_s_disease_and_other_dementias,29767210.0
Cardiovascular_diseases,447714842.0
Chronic_kidney_disease,28909412.0
Chronic_respiratory_diseases,104603397.0
Cirrhosis_and_other_chronic_liver_diseases,37476376.0
Conflict_and_terrorism,3294053.0
Diabetes_mellitus,31445907.0
Diarrheal_diseases,66234950.0
Digestive_diseases,65634720.0
Drowning,10301680.0
Drug_use_disorders,2656068.0
Environmental_heat_and_cold_exposure,1788841.0
Exposure_to_forces_of_nature,1490132.0
Fire__heat__and_hot_substances,3602770.0
HIV_AIDS,36363057.0
Interpersonal_violence,12750846.0
Lower_respiratory_infections,83768028.0
Malaria,25342671.0
Maternal_disorders,7726815.0
Meningitis,10524355.0
Neonatal_disorders,76857422.0
Neoplasms,229747730.0
Nutritional_deficiencies,13791568.0
Parkinson_s_disease,7179349.0
Poisonings,2601033.0
Protein_energy_malnutrition,12031459.0
Road_injuries_,36293801.0
Self_harm,23713260.0
Tuberculosis,45849852.0
