,row_2010_data
Exposure_to_forces_of_nature,0.0009520466644255543
Neoplasms,0.0001029993851443642
Alzheimer_s_disease_and_other_dementias,7.230185303948962e-05
Cardiovascular_diseases,6.064323469793815e-05
Chronic_kidney_disease,5.410940116690394e-05
HIV_AIDS,4.0096426856926206e-05
Diabetes_mellitus,2.9964745895127726e-05
Parkinson_s_disease,1.4531827020978312e-05
Cirrhosis_and_other_chronic_liver_diseases,8.885447102924813e-06
Malaria,4.518782286842306e-06
Digestive_diseases,3.6343829059975173e-06
Road_injuries_,2.5813371731372103e-06
Alcohol_use_disorders,-2.7208518846993257e-08
Poisonings,-1.8626156846225102e-07
Drug_use_disorders,-2.6795721860092185e-07
Environmental_heat_and_cold_exposure,-6.251724809351689e-07
Fire__heat__and_hot_substances,-2.4858921633388664e-06
Interpersonal_violence,-3.965578744240527e-06
Self_harm,-4.9250586497019005e-06
Chronic_respiratory_diseases,-6.967194655004656e-06
Maternal_disorders,-1.1347786288627075e-05
Acute_hepatitis,-1.49245749951896e-05
Meningitis,-1.5861788414336464e-05
Drowning,-5.1522746329471015e-05
Neonatal_disorders,-7.876160152901638e-05
Tuberculosis,-0.00012395756339341553
Conflict_and_terrorism,-0.00015348552865209787
Lower_respiratory_infections,-0.00016707280260625174
Protein_energy_malnutrition,-0.0002126543881682579
Nutritional_deficiencies,-0.000236235913231351
Diarrheal_diseases,-0.0002417157380202985
